ingredient,baseline_acc,icnn_acc,diff_acc,prec_base,prec_icnn,recBase,recModel,f1Base,f1Model,f1Diff,ingred_name
0,0.9958052734,0.9958052734,0,0,0,0,0,0,0,0,
1,0.9856751512,0.9854183312,-0.00025682,0,0,0,0,0,0,0,
2,0.9962047711,0.9961191645,-8.56066659057353E-05,0,0,0,0,0,0,0,
3,0.9774854469,0.9773142335,-0.0001712133,0,0,0,0,0,0,0,
4,0.9723490469,0.9722063691,-0.0001426778,0,0,0,0,0,0,0,
5,0.9949492067,0.9948636,-8.56066659057353E-05,0,0,0,0,0,0,0,
6,0.9802533957,0.9801392535,-0.0001141422,0,0,0,0,0,0,0,
7,0.9950918845,0.9950918845,0,0,0,0,0,0,0,0,
9,0.99666134,0.9965186623,-0.0001426778,0,0,0,0,0,0,0,
10,0.9940360689,0.9940075334,-2.85355553019118E-05,0,0,0,0,0,0,0,
11,0.9920671156,0.9920385801,-2.85355553019118E-05,0,0,0,0,0,0,0,
12,0.9967184111,0.9964615911,-0.00025682,0,0,0,0,0,0,0,
13,0.9935509645,0.9932656089,-0.0002853556,0,0,0,0,0,0,0,
15,0.99640452,0.99640452,0,0,0,0,0,0,0,0,
16,0.9925236845,0.992495149,-2.85355553019118E-05,0,0,0,0,0,0,0,
17,0.9929231823,0.9927805045,-0.0001426778,0,0,0,0,0,0,0,
19,0.9927234334,0.9926092912,-0.0001141422,0,0,0,0,0,0,0,
20,0.9914964045,0.9914107979,-8.56066659057353E-05,0,0,0,0,0,0,0,
21,0.9504908116,0.9503195982,-0.0001712133,0,0,0,0,0,0,0,
22,0.9924095423,0.9923524712,-5.70711106038235E-05,0,0,0,0,0,0,0,
23,0.9787410113,0.9786554046,-8.56066659057353E-05,0,0,0,0,0,0,0,
24,0.9490925693,0.9490354982,-5.70711106038235E-05,0,0,0,0,0,0,0,
25,0.9781988357,0.977799338,-0.0003994978,0,0,0,0,0,0,0,
27,0.9869021801,0.9867880379,-0.0001141422,0,0,0,0,0,0,0,
28,0.9972605867,0.99691816,-0.0003424267,0,0,0,0,0,0,0,
29,0.9861887912,0.9860461135,-0.0001426778,0,0,0,0,0,0,0,
30,0.9269489784,0.9268063007,-0.0001426778,0,0,0,0,0,0,0,
31,0.9707225203,0.9704086292,-0.0003138911,0,0,0,0,0,0,0,
32,0.992751969,0.9926948978,-5.70711106038235E-05,0,0,0,0,0,0,0,
33,0.9944926378,0.9944070312,-8.56066659057353E-05,0,0,0,0,0,0,0,
34,0.9964330556,0.9961191645,-0.0003138911,0,0,0,0,0,0,0,
36,0.9949206712,0.9946638512,-0.00025682,0,0,0,0,0,0,0,
37,0.9968040178,0.9964330556,-0.0003709622,0,0,0,0,0,0,0,
38,0.9948065289,0.9945782445,-0.0002282844,0,0,0,0,0,0,0,
39,0.9796541491,0.9796256135,-2.85355553019118E-05,0,0,0,0,0,0,0,
40,0.9702944869,0.9700091314,-0.0002853556,0,0,0,0,0,0,0,
41,0.9957767378,0.9954913823,-0.0002853556,0,0,0,0,0,0,0,
43,0.9948921356,0.9948065289,-8.56066659057353E-05,0,0,0,0,0,0,0,
45,0.9936936423,0.9936080356,-8.56066659057353E-05,0,0,0,0,0,0,0,
46,0.9815374957,0.9812806757,-0.00025682,0,0,0,0,0,0,0,
47,0.99666134,0.9964615911,-0.0001997489,0,0,0,0,0,0,0,
48,0.9965186623,0.9963759845,-0.0001426778,0,0,0,0,0,0,0,
50,0.9876726401,0.9876441046,-2.85355553019118E-05,0,0,0,0,0,0,0,
52,0.9967469467,0.99640452,-0.0003424267,0,0,0,0,0,0,0,
53,0.9938933912,0.9937792489,-0.0001141422,0,0,0,0,0,0,0,
