ingredient,baseline_acc,icnn_acc,diff_acc,prec_base,prec_icnn,recBase,recModel,f1Base,f1Model,f1Diff,ingred_name
0,0.9958052734,0.9957482023,-5.70711106037125E-05,0,0,0,0,0,0,0,
1,0.9856751512,0.985561009,-0.0001141422,0,0,0,0,0,0,0,
2,0.9962047711,0.9960050223,-0.0001997489,0,0,0,0,0,0,0,
3,0.9774854469,0.9773713046,-0.0001141422,0,0,0,0,0,0,0,
4,0.9723490469,0.9722634402,-8.56066659057353E-05,0,0,0,0,0,0,0,
5,0.9949492067,0.9949492067,0,0,0,0,0,0,0,0,
6,0.9802533957,0.9801392535,-0.0001141422,0,0,0,0,0,0,0,
7,0.9950918845,0.9950062778,-8.56066659057353E-05,0,0,0,0,0,0,0,
9,0.99666134,0.99640452,-0.00025682,0,0,0,0,0,0,0,
10,0.9940360689,0.9938933912,-0.0001426778,0,0,0,0,0,0,0,
11,0.9920671156,0.991981509,-8.56066659057353E-05,0,0,0,0,0,0,0,
12,0.9967184111,0.9965186623,-0.0001997489,0,0,0,0,0,0,0,
13,0.9935509645,0.9934082867,-0.0001426778,0,0,0,0,0,0,0,
15,0.99640452,0.9962903778,-0.0001141422,0,0,0,0,0,0,0,
16,0.9925236845,0.9923524712,-0.0001712133,0,0,0,0,0,0,0,
17,0.9929231823,0.9928090401,-0.0001141422,0,0,0,0,0,0,0,
18,0.9873016779,0.9873016779,0,0,0,0,0,0,0,0,
19,0.9927234334,0.9926092912,-0.0001141422,0,0,0,0,0,0,0,
20,0.9914964045,0.9912681201,-0.0002282844,0,0,0,0,0,0,0,
21,0.9504908116,0.950205456,-0.0002853556,0,0,0,0,0,0,0,
22,0.9924095423,0.9923810067,-2.85355553019118E-05,0,0,0,0,0,0,0,
23,0.9787410113,0.9784841913,-0.00025682,0,0,0,0,0,0,0,
24,0.9490925693,0.9488357493,-0.00025682,0,0,0,0,0,0,0,
25,0.9781988357,0.9780276224,-0.0001712133,0,0,0,0,0,0,0,
26,0.9961762356,0.9961762356,0,0,0,0,0,0,0,0,
27,0.9869021801,0.9864741468,-0.0004280333,0,0,0,0,0,0,0,
28,0.9972605867,0.9971464445,-0.0001141422,0,0,0,0,0,0,0,
