ingredient,baseline_acc,icnn_acc,diff_acc,prec_base,prec_icnn,recBase,recModel,f1Base,f1Model,f1Diff,ingred_name
0,0.9958052734,0.9956055245,-0.0001997489,0,0,0,0,0,0,0,
1,0.9856751512,0.9856466157,-2.85355553019118E-05,0,0,0,0,0,0,0,
2,0.9962047711,0.9962047711,0,0,0,0,0,0,0,0,
3,0.9774854469,0.977285698,-0.0001997489,0,0,0,0,0,0,0,
4,0.9723490469,0.9719210136,-0.0004280333,0,0,0,0,0,0,0,
5,0.9949492067,0.9947494578,-0.0001997489,0,0,0,0,0,0,0,
6,0.9802533957,0.9800251113,-0.0002282844,0,0,0,0,0,0,0,
7,0.9950918845,0.9949777423,-0.0001141422,0,0,0,0,0,0,0,
9,0.99666134,0.9965757334,-8.56066659057353E-05,0,0,0,0,0,0,0,
10,0.9940360689,0.9938077845,-0.0002282844,0,0,0,0,0,0,0,
11,0.9920671156,0.9920385801,-2.85355553019118E-05,0,0,0,0,0,0,0,
12,0.9967184111,0.99640452,-0.0003138911,0,0,0,0,0,0,0,
13,0.9935509645,0.9934653578,-8.56066659056243E-05,0,0,0,0,0,0,0,
15,0.99640452,0.9962618423,-0.0001426778,0,0,0,0,0,0,0,
16,0.9925236845,0.9924095423,-0.0001141422,0,0,0,0,0,0,0,
17,0.9929231823,0.9928090401,-0.0001141422,0,0,0,0,0,0,0,
18,0.9873016779,0.9871304646,-0.0001712133,0,0,0,0,0,0,0,
19,0.9927234334,0.9924095423,-0.0003138911,0,0,0,0,0,0,0,
20,0.9914964045,0.9912966556,-0.0001997489,0,0,0,0,0,0,0,
21,0.9504908116,0.9503481338,-0.0001426778,0,0,0,0,0,0,0,
22,0.9924095423,0.9923524712,-5.70711106038235E-05,0,0,0,0,0,0,0,
23,0.9787410113,0.9784556557,-0.0002853556,0,0,0,0,0,0,0,
24,0.9490925693,0.9490069627,-8.56066659057353E-05,0,0,0,0,0,0,0,
25,0.9781988357,0.9781417646,-5.70711106037125E-05,0,0,0,0,0,0,0,
26,0.9961762356,0.9961191645,-5.70711106038235E-05,0,0,0,0,0,0,0,
27,0.9869021801,0.9866453601,-0.00025682,0,0,0,0,0,0,0,
28,0.9972605867,0.9968896245,-0.0003709622,0,0,0,0,0,0,0,
29,0.9861887912,0.9860175779,-0.0001712133,0,0,0,0,0,0,0,
31,0.9707225203,0.9705798425,-0.0001426778,0,0,0,0,0,0,0,
33,0.9944926378,0.9943499601,-0.0001426778,0,0,0,0,0,0,0,
34,0.9964330556,0.9962333067,-0.0001997489,0,0,0,0,0,0,0,
35,0.9907830156,0.990697409,-8.56066659057353E-05,0,0,0,0,0,0,0,
36,0.9949206712,0.9948636,-5.70711106038235E-05,0,0,0,0,0,0,0,
37,0.9968040178,0.9966898756,-0.0001141422,0,0,0,0,0,0,0,
38,0.9948065289,0.9946353156,-0.0001712133,0,0,0,0,0,0,0,
39,0.9796541491,0.9796256135,-2.85355553019118E-05,0,0,0,0,0,0,0,
40,0.9702944869,0.9702088803,-8.56066659056243E-05,0,0,0,0,0,0,0,
41,0.9957767378,0.9956625956,-0.0001141422,0,0,0,0,0,0,0,
43,0.9948921356,0.9946638512,-0.0002282844,0,0,0,0,0,0,0,
44,0.9934938934,0.9932656089,-0.0002282844,0,0,0,0,0,0,0,
45,0.9936936423,0.9934938934,-0.0001997489,0,0,0,0,0,0,0,
47,0.99666134,0.9964901267,-0.0001712133,0,0,0,0,0,0,0,
48,0.9965186623,0.9964330556,-8.56066659057353E-05,0,0,0,0,0,0,0,
50,0.9876726401,0.9875870334,-8.56066659057353E-05,0,0,0,0,0,0,0,
52,0.9967469467,0.9964615911,-0.0002853556,0,0,0,0,0,0,0,
53,0.9938933912,0.9938648556,-2.85355553019118E-05,0,0,0,0,0,0,0,
54,0.9912966556,0.9908115512,-0.0004851044,0,0,0,0,0,0,0,
55,0.991211049,0.9911539779,-5.70711106038235E-05,0,0,0,0,0,0,0,
56,0.9942072823,0.9939219267,-0.0002853556,0,0,0,0,0,0,0,
57,0.9951489556,0.9948921356,-0.00025682,0,0,0,0,0,0,0,
58,0.9720922269,0.9720636914,-2.85355553019118E-05,0,0,0,0,0,0,0,
59,0.9966898756,0.9966042689,-8.56066659057353E-05,0,0,0,0,0,0,0,
60,0.9940931401,0.9940075334,-8.56066659056243E-05,0,0,0,0,0,0,0,
61,0.9895845223,0.9891850245,-0.0003994978,0,0,0,0,0,0,0,
62,0.9883574934,0.9883004223,-5.70711106038235E-05,0,0,0,0,0,0,0,
63,0.9970037667,0.9969466956,-5.70711106038235E-05,0,0,0,0,0,0,0,
64,0.987615569,0.9874443557,-0.0001712133,0,0,0,0,0,0,0,
65,0.99691816,0.9966898756,-0.0002282844,0,0,0,0,0,0,0,
66,0.9902693756,0.9902408401,-2.85355553019118E-05,0,0,0,0,0,0,0,
67,0.9799680402,0.9799109691,-5.70711106038235E-05,0,0,0,0,0,0,0,
68,0.9966328045,0.9964615911,-0.0001712133,0,0,0,0,0,0,0,
69,0.9962333067,0.9960906289,-0.0001426778,0,0,0,0,0,0,0,
70,0.9958338089,0.9957482023,-8.56066659056243E-05,0,0,0,0,0,0,0,
71,0.9942072823,0.9940360689,-0.0001712133,0,0,0,0,0,0,0,
72,0.9822794202,0.9820511357,-0.0002282844,0,0,0,0,0,0,0,
