ingredient,baseline_acc,icnn_acc,diff_acc,prec_base,prec_icnn,recBase,recModel,f1Base,f1Model,f1Diff,ingred_name
0,0.9958052734,0.9957196667,-8.56066659056243E-05,0,0,0,0,0,0,0,
1,0.9856751512,0.9854183312,-0.00025682,0,0,0,0,0,0,0,
2,0.9962047711,0.9958623445,-0.0003424267,0,0,0,0,0,0,0,
3,0.9774854469,0.9773998402,-8.56066659057353E-05,0,0,0,0,0,0,0,
4,0.9723490469,0.972149298,-0.0001997489,0,0,0,0,0,0,0,
5,0.9949492067,0.9948065289,-0.0001426778,0,0,0,0,0,0,0,
6,0.9802533957,0.9800536468,-0.0001997489,0,0,0,0,0,0,0,
7,0.9950918845,0.9948065289,-0.0002853556,0,0,0,0,0,0,0,
8,0.9539436137,0.9538294715,-0.0001141422,0,0,0,0,0,0,0,
9,0.99666134,0.9965757334,-8.56066659057353E-05,0,0,0,0,0,0,0,
10,0.9940360689,0.9938077845,-0.0002282844,0,0,0,0,0,0,0,
12,0.9967184111,0.9963474489,-0.0003709622,0,0,0,0,0,0,0,
13,0.9935509645,0.9933797512,-0.0001712133,0,0,0,0,0,0,0,
14,0.9954343112,0.9948636,-0.0005707111,0,0,0,0,0,0,0,
15,0.99640452,0.9961191645,-0.0002853556,0,0,0,0,0,0,0,
16,0.9925236845,0.9924380778,-8.56066659057353E-05,0,0,0,0,0,0,0,
17,0.9929231823,0.9926948978,-0.0002282844,0,0,0,0,0,0,0,
19,0.9927234334,0.9924095423,-0.0003138911,0,0,0,0,0,0,0,
20,0.9914964045,0.9913822623,-0.0001141422,0,0,0,0,0,0,0,
21,0.9504908116,0.9504337404,-5.70711106038235E-05,0,0,0,0,0,0,0,
22,0.9924095423,0.9922097934,-0.0001997489,0,0,0,0,0,0,0,
23,0.9787410113,0.9785412624,-0.0001997489,0,0,0,0,0,0,0,
24,0.9490925693,0.9489784271,-0.0001141422,0,0,0,0,0,0,0,
25,0.9781988357,0.9781132291,-8.56066659056243E-05,0,0,0,0,0,0,0,
26,0.9961762356,0.9960050223,-0.0001712133,0,0,0,0,0,0,0,
27,0.9869021801,0.986331469,-0.0005707111,0,0,0,0,0,0,0,
28,0.9972605867,0.99717498,-8.56066659057353E-05,0,0,0,0,0,0,0,
29,0.9861887912,0.9859034357,-0.0002853556,0,0,0,0,0,0,0,
33,0.9944926378,0.9941787467,-0.0003138911,0,0,0,0,0,0,0,
34,0.9964330556,0.9961762356,-0.00025682,0,0,0,0,0,0,0,
35,0.9907830156,0.9903835179,-0.0003994978,0,0,0,0,0,0,0,
36,0.9949206712,0.9948065289,-0.0001141422,0,0,0,0,0,0,0,
37,0.9968040178,0.9965186623,-0.0002853556,0,0,0,0,0,0,0,
38,0.9948065289,0.9946353156,-0.0001712133,0,0,0,0,0,0,0,
39,0.9796541491,0.9790549024,-0.0005992467,0,0,0,0,0,0,0,
40,0.9702944869,0.9695525625,-0.0007419244,0,0,0,0,0,0,0,
41,0.9957767378,0.9954057756,-0.0003709622,0,0,0,0,0,0,0,
43,0.9948921356,0.9947209223,-0.0001712133,0,0,0,0,0,0,0,
44,0.9934938934,0.9928946467,-0.0005992467,0,0,0,0,0,0,0,
45,0.9936936423,0.9931800023,-0.00051364,0,0,0,0,0,0,0,
47,0.99666134,0.99666134,0,0,0,0,0,0,0,0,
48,0.9965186623,0.9964901267,-2.85355553019118E-05,0,0,0,0,0,0,0,
50,0.9876726401,0.9875870334,-8.56066659057353E-05,0,0,0,0,0,0,0,
52,0.9967469467,0.9963759845,-0.0003709622,0,0,0,0,0,0,0,
53,0.9938933912,0.9935795001,-0.0003138911,0,0,0,0,0,0,0,
54,0.9912966556,0.9911254423,-0.0001712133,0,0,0,0,0,0,0,
55,0.991211049,0.991211049,0,0,0,0,0,0,0,0,
56,0.9942072823,0.9941216756,-8.56066659057353E-05,0,0,0,0,0,0,0,
57,0.9951489556,0.9949492067,-0.0001997489,0,0,0,0,0,0,0,
58,0.9720922269,0.9719780847,-0.0001141422,0,0,0,0,0,0,0,
59,0.9966898756,0.9965757334,-0.0001141422,0,0,0,0,0,0,0,
60,0.9940931401,0.9940360689,-5.70711106037125E-05,0,0,0,0,0,0,0,
61,0.9895845223,0.9891850245,-0.0003994978,0,0,0,0,0,0,0,
62,0.9883574934,0.9882433512,-0.0001141422,0,0,0,0,0,0,0,
63,0.9970037667,0.9968040178,-0.0001997489,0,0,0,0,0,0,0,
64,0.987615569,0.9873302134,-0.0002853556,0,0,0,0,0,0,0,
65,0.99691816,0.9967469467,-0.0001712133,0,0,0,0,0,0,0,
67,0.9799680402,0.979597078,-0.0003709622,0,0,0,0,0,0,0,
68,0.9966328045,0.9964330556,-0.0001997489,0,0,0,0,0,0,0,
69,0.9962333067,0.9959194156,-0.0003138911,0,0,0,0,0,0,0,
70,0.9958338089,0.9957196667,-0.0001141422,0,0,0,0,0,0,0,
71,0.9942072823,0.9941787467,-2.85355553019118E-05,0,0,0,0,0,0,0,
72,0.9822794202,0.9821652779,-0.0001141422,0,0,0,0,0,0,0,
73,0.9908115512,0.9906688734,-0.0001426778,0,0,0,0,0,0,0,
74,0.9970323022,0.9968610889,-0.0001712133,0,0,0,0,0,0,0,
75,0.9918673667,0.9915820112,-0.0002853556,0,0,0,0,0,0,0,
76,0.9925522201,0.9921527223,-0.0003994978,0,0,0,0,0,0,0,
78,0.9958338089,0.9955484534,-0.0002853556,0,0,0,0,0,0,0,
79,0.9970037667,0.9969752311,-2.85355553019118E-05,0,0,0,0,0,0,0,
80,0.9949492067,0.9948350645,-0.0001141422,0,0,0,0,0,0,0,
81,0.9935224289,0.9933797512,-0.0001426778,0,0,0,0,0,0,0,
83,0.9682399269,0.9680687136,-0.0001712133,0,0,0,0,0,0,0,
84,0.9866453601,0.9865026823,-0.0001426778,0,0,0,0,0,0,0,
86,0.9863600046,0.9860175779,-0.0003424267,0,0,0,0,0,0,0,
87,0.9935224289,0.9932085378,-0.0003138911,0,0,0,0,0,0,0,
88,0.9949206712,0.9942643534,-0.0006563178,0,0,0,0,0,0,0,
89,0.9970608378,0.9967754823,-0.0002853556,0,0,0,0,0,0,0,
90,0.99512042,0.9949492067,-0.0001712133,0,0,0,0,0,0,0,
91,0.9840771601,0.9839344824,-0.0001426778,0,0,0,0,0,0,0,
92,0.939875585,0.9395616939,-0.0003138911,0,0,0,0,0,0,0,
93,0.9966042689,0.9964615911,-0.0001426778,0,0,0,0,0,0,0,
94,0.991724689,0.991467869,-0.00025682,0,0,0,0,0,0,0,
96,0.9965757334,0.99640452,-0.0001712133,0,0,0,0,0,0,0,
97,0.9510044515,0.9507761671,-0.0002282844,0,0,0,0,0,0,0,
98,0.9940360689,0.9938077845,-0.0002282844,0,0,0,0,0,0,0,
99,0.9902693756,0.9902408401,-2.85355553019118E-05,0,0,0,0,0,0,0,
100,0.9139082297,0.9136228741,-0.0002853556,0,0,0,0,0,0,0,
101,0.9831640224,0.9828786668,-0.0002853556,0,0,0,0,0,0,0,
102,0.9960906289,0.9959194156,-0.0001712133,0,0,0,0,0,0,0,
104,0.9922954001,0.9920671156,-0.0002282844,0,0,0,0,0,0,0,
105,0.9943214245,0.9942643534,-5.70711106038235E-05,0,0,0,0,0,0,0,
106,0.9879009246,0.9877867823,-0.0001141422,0,0,0,0,0,0,0,
107,0.9892135601,0.9890423468,-0.0001712133,0,0,0,0,0,0,0,
108,0.9971179089,0.9969466956,-0.0001712133,0,0,0,0,0,0,0,
109,0.9885001712,0.988386029,-0.0001141422,0,0,0,0,0,0,0,
110,0.9958052734,0.9955484534,-0.00025682,0,0,0,0,0,0,0,
111,0.9897842712,0.989670129,-0.0001141422,0,0,0,0,0,0,0,
112,0.9962047711,0.9959194156,-0.0002853556,0,0,0,0,0,0,0,
113,0.9849046912,0.9845908001,-0.0003138911,0,0,0,0,0,0,0,
114,0.9738043602,0.9737472891,-5.70711106038235E-05,0,0,0,0,0,0,0,
115,0.9952345623,0.9952060267,-2.85355553019118E-05,0,0,0,0,0,0,0,
116,0.9952345623,0.9951489556,-8.56066659056243E-05,0,0,0,0,0,0,0,
117,0.9949777423,0.9948636,-0.0001141422,0,0,0,0,0,0,0,
118,0.9966898756,0.99666134,-2.85355553019118E-05,0,0,0,0,0,0,0,
119,0.9961477,0.9959764867,-0.0001712133,0,0,0,0,0,0,0,
120,0.9873872846,0.987101929,-0.0002853556,0,0,0,0,0,0,0,
121,0.9933226801,0.9932085378,-0.0001141422,0,0,0,0,0,0,0,
122,0.991467869,0.9913822623,-8.56066659057353E-05,0,0,0,0,0,0,0,
124,0.99512042,0.9950062778,-0.0001141422,0,0,0,0,0,0,0,
125,0.9941787467,0.9941502112,-2.85355553019118E-05,0,0,0,0,0,0,0,
126,0.9921527223,0.9918959023,-0.00025682,0,0,0,0,0,0,0,
127,0.9967754823,0.99666134,-0.0001141422,0,0,0,0,0,0,0,
128,0.9914964045,0.9913537267,-0.0001426778,0,0,0,0,0,0,0,
129,0.9862743979,0.985817829,-0.0004565689,0,0,0,0,0,0,0,
130,0.9930658601,0.9926378267,-0.0004280333,0,0,0,0,0,0,0,
132,0.9865597535,0.9864456112,-0.0001141422,0,0,0,0,0,0,0,
133,0.9908400867,0.9907544801,-8.56066659057353E-05,0,0,0,0,0,0,0,
135,0.9952060267,0.9950918845,-0.0001141422,0,0,0,0,0,0,0,
136,0.9972605867,0.9970608378,-0.0001997489,0,0,0,0,0,0,0,
137,0.9970037667,0.9969466956,-5.70711106038235E-05,0,0,0,0,0,0,0,
138,0.9831640224,0.9830784157,-8.56066659057353E-05,0,0,0,0,0,0,0,
139,0.9964330556,0.9962618423,-0.0001712133,0,0,0,0,0,0,0,
141,0.9910113001,0.990954229,-5.70711106038235E-05,0,0,0,0,0,0,0,
142,0.9957767378,0.9951774912,-0.0005992467,0,0,0,0,0,0,0,
143,0.9968325534,0.9968040178,-2.85355553019118E-05,0,0,0,0,0,0,0,
144,0.9886713845,0.9885287068,-0.0001426778,0,0,0,0,0,0,0,
145,0.9972891222,0.9970608378,-0.0002282844,0,0,0,0,0,0,0,
146,0.9877297112,0.9875870334,-0.0001426778,0,0,0,0,0,0,0,
147,0.9938077845,0.9937221778,-8.56066659057353E-05,0,0,0,0,0,0,0,
149,0.99563406,0.9955199178,-0.0001141422,0,0,0,0,0,0,0,
150,0.9963189134,0.9962618423,-5.70711106037125E-05,0,0,0,0,0,0,0,
151,0.9872731423,0.9870733934,-0.0001997489,0,0,0,0,0,0,0,
152,0.9941787467,0.9940931401,-8.56066659057353E-05,0,0,0,0,0,0,0,
153,0.9954913823,0.9951489556,-0.0003424267,0,0,0,0,0,0,0,
154,0.9617908915,0.9615911426,-0.0001997489,0,0,0,0,0,0,0,
156,0.9971464445,0.9968610889,-0.0002853556,0,0,0,0,0,0,0,
158,0.9258360918,0.9256648784,-0.0001712133,0,0,0,0,0,0,0,
159,0.99691816,0.9967184111,-0.0001997489,0,0,0,0,0,0,0,
160,0.9946353156,0.9945782445,-5.70711106037125E-05,0,0,0,0,0,0,0,
161,0.9960050223,0.9960050223,0,0,0,0,0,0,0,0,
162,0.9969752311,0.9968325534,-0.0001426778,0,0,0,0,0,0,0,
163,0.9959194156,0.9957482023,-0.0001712133,0,0,0,0,0,0,0,
164,0.9967469467,0.9967184111,-2.85355553019118E-05,0,0,0,0,0,0,0,
165,0.9963189134,0.9962618423,-5.70711106037125E-05,0,0,0,0,0,0,0,
166,0.9915534756,0.9915249401,-2.85355553019118E-05,0,0,0,0,0,0,0,
167,0.9947779934,0.99460678,-0.0001712133,0,0,0,0,0,0,0,
168,0.9894989156,0.9894703801,-2.85355553019118E-05,0,0,0,0,0,0,0,
169,0.9912966556,0.9911539779,-0.0001426778,0,0,0,0,0,0,0,
170,0.99512042,0.9947779934,-0.0003424267,0,0,0,0,0,0,0,
171,0.9965757334,0.9963759845,-0.0001997489,0,0,0,0,0,0,0,
173,0.9972035156,0.9971179089,-8.56066659057353E-05,0,0,0,0,0,0,0,
174,0.9938648556,0.9936651067,-0.0001997489,0,0,0,0,0,0,0,
176,0.9966328045,0.9961762356,-0.0004565689,0,0,0,0,0,0,0,
180,0.9941502112,0.9938077845,-0.0003424267,0,0,0,0,0,0,0,
181,0.987101929,0.9870163223,-8.56066659057353E-05,0,0,0,0,0,0,0,
182,0.9920100445,0.9919529734,-5.70711106038235E-05,0,0,0,0,0,0,0,
183,0.9454114827,0.9452117338,-0.0001997489,0,0,0,0,0,0,0,
184,0.9842198379,0.9838203401,-0.0003994978,0,0,0,0,0,0,0,
185,0.9976315489,0.9973747289,-0.00025682,0,0,0,0,0,0,0,
186,0.9867024312,0.9864170757,-0.0002853556,0,0,0,0,0,0,0,
187,0.9934368223,0.9931229312,-0.0003138911,0,0,0,0,0,0,0,
188,0.9966898756,0.9961762356,-0.00051364,0,0,0,0,0,0,0,
190,0.9957196667,0.9955199178,-0.0001997489,0,0,0,0,0,0,0,
191,0.9713503025,0.9712361603,-0.0001141422,0,0,0,0,0,0,0,
192,0.9881577445,0.9879579957,-0.0001997489,0,0,0,0,0,0,0,
193,0.9928661112,0.9926663623,-0.0001997489,0,0,0,0,0,0,0,
194,0.9970037667,0.9965757334,-0.0004280333,0,0,0,0,0,0,0,
195,0.9959764867,0.99589088,-8.56066659057353E-05,0,0,0,0,0,0,0,
196,0.9968610889,0.9967469467,-0.0001141422,0,0,0,0,0,0,0,
197,0.9954343112,0.99537724,-5.70711106038235E-05,0,0,0,0,0,0,0,
198,0.9945782445,0.9944641023,-0.0001141422,0,0,0,0,0,0,0,
199,0.9940360689,0.9938648556,-0.0001712133,0,0,0,0,0,0,0,
200,0.9925522201,0.9922668645,-0.0002853556,0,0,0,0,0,0,0,
201,0.9768291291,0.9765437735,-0.0002853556,0,0,0,0,0,0,0,
202,0.99563406,0.9955199178,-0.0001141422,0,0,0,0,0,0,0,
203,0.9969752311,0.99691816,-5.70711106038235E-05,0,0,0,0,0,0,0,
205,0.9944355667,0.9942358178,-0.0001997489,0,0,0,0,0,0,0,
208,0.9967469467,0.99640452,-0.0003424267,0,0,0,0,0,0,0,
209,0.99666134,0.9964901267,-0.0001712133,0,0,0,0,0,0,0,
210,0.9955199178,0.9952345623,-0.0002853556,0,0,0,0,0,0,0,
213,0.9960620934,0.9958623445,-0.0001997489,0,0,0,0,0,0,0,
214,0.9957196667,0.9957196667,0,0,0,0,0,0,0,0,
215,0.9941787467,0.9940360689,-0.0001426778,0,0,0,0,0,0,0,
216,0.9362515695,0.9361088917,-0.0001426778,0,0,0,0,0,0,0,
217,0.9767149869,0.9764867024,-0.0002282844,0,0,0,0,0,0,0,
218,0.9965757334,0.9965186623,-5.70711106038235E-05,0,0,0,0,0,0,0,
219,0.9485789293,0.9484933227,-8.56066659057353E-05,0,0,0,0,0,0,0,
220,0.9966328045,0.9964330556,-0.0001997489,0,0,0,0,0,0,0,
221,0.9865026823,0.986331469,-0.0001712133,0,0,0,0,0,0,0,
222,0.9934368223,0.9931514667,-0.0002853556,0,0,0,0,0,0,0,
223,0.9876441046,0.9876441046,0,0,0,0,0,0,0,0,
224,0.9959479511,0.9954628467,-0.0004851044,0,0,0,0,0,0,0,
225,0.9967184111,0.99666134,-5.70711106038235E-05,0,0,0,0,0,0,0,
226,0.9964615911,0.9961762356,-0.0002853556,0,0,0,0,0,0,0,
227,0.9967184111,0.9966328045,-8.56066659057353E-05,0,0,0,0,0,0,0,
228,0.9955769889,0.9954628467,-0.0001141422,0,0,0,0,0,0,0,
229,0.9920671156,0.9918102956,-0.00025682,0,0,0,0,0,0,0,
230,0.9934082867,0.9931514667,-0.00025682,0,0,0,0,0,0,0,
231,0.9925807556,0.9922954001,-0.0002853556,0,0,0,0,0,0,0,
232,0.9777708024,0.9775710535,-0.0001997489,0,0,0,0,0,0,0,
233,0.9966898756,0.9961477,-0.0005421756,0,0,0,0,0,0,0,
234,0.9957767378,0.9954913823,-0.0002853556,0,0,0,0,0,0,0,
235,0.9955769889,0.9955769889,0,0,0,0,0,0,0,0,
236,0.9873016779,0.9872446068,-5.70711106037125E-05,0,0,0,0,0,0,0,
238,0.9938933912,0.9936365712,-0.00025682,0,0,0,0,0,0,0,
239,0.9954913823,0.9954913823,0,0,0,0,0,0,0,0,
