ingredient,baseline_acc,icnn_acc,diff_acc,prec_base,prec_icnn,recBase,recModel,f1Base,f1Model,f1Diff,ingred_name
86,0.9863600046,0.9857892935,-0.0005707111,0,0,0,0,0,0,0,
87,0.9935224289,0.9932370734,-0.0002853556,0,0,0,0,0,0,0,
88,0.9949206712,0.9947494578,-0.0001712133,0,0,0,0,0,0,0,
89,0.9970608378,0.9968610889,-0.0001997489,0,0,0,0,0,0,0,
90,0.99512042,0.9947779934,-0.0003424267,0,0,0,0,0,0,0,
91,0.9840771601,0.9836776624,-0.0003994978,0,0,0,0,0,0,0,
93,0.9966042689,0.9962333067,-0.0003709622,0,0,0,0,0,0,0,
94,0.991724689,0.9913822623,-0.0003424267,0,0,0,0,0,0,0,
95,0.9886143134,0.9884145645,-0.0001997489,0,0,0,0,0,0,0,
96,0.9965757334,0.9962047711,-0.0003709622,0,0,0,0,0,0,0,
97,0.9510044515,0.950719096,-0.0002853556,0,0,0,0,0,0,0,
98,0.9940360689,0.9938933912,-0.0001426778,0,0,0,0,0,0,0,
99,0.9902693756,0.9898984134,-0.0003709622,0,0,0,0,0,0,0,
100,0.9139082297,0.9136514097,-0.00025682,0,0,0,0,0,0,0,
101,0.9831640224,0.9827930602,-0.0003709622,0,0,0,0,0,0,0,
102,0.9960906289,0.9957767378,-0.0003138911,0,0,0,0,0,0,0,
104,0.9922954001,0.9917817601,-0.00051364,0,0,0,0,0,0,0,
105,0.9943214245,0.9940075334,-0.0003138911,0,0,0,0,0,0,0,
107,0.9892135601,0.9887284557,-0.0004851044,0,0,0,0,0,0,0,
109,0.9885001712,0.9883004223,-0.0001997489,0,0,0,0,0,0,0,
110,0.9958052734,0.9956055245,-0.0001997489,0,0,0,0,0,0,0,
111,0.9897842712,0.9896415934,-0.0001426778,0,0,0,0,0,0,0,
112,0.9962047711,0.99589088,-0.0003138911,0,0,0,0,0,0,0,
113,0.9849046912,0.9840771601,-0.0008275311,0,0,0,0,0,0,0,
115,0.9952345623,0.9948350645,-0.0003994978,0,0,0,0,0,0,0,
116,0.9952345623,0.9945497089,-0.0006848533,0,0,0,0,0,0,0,
117,0.9949777423,0.9943214245,-0.0006563178,0,0,0,0,0,0,0,
118,0.9966898756,0.9963189134,-0.0003709622,0,0,0,0,0,0,0,
119,0.9961477,0.9958052734,-0.0003424267,0,0,0,0,0,0,0,
120,0.9873872846,0.9871875357,-0.0001997489,0,0,0,0,0,0,0,
121,0.9933226801,0.9931229312,-0.0001997489,0,0,0,0,0,0,0,
122,0.991467869,0.9911539779,-0.0003138911,0,0,0,0,0,0,0,
124,0.99512042,0.9947779934,-0.0003424267,0,0,0,0,0,0,0,
125,0.9941787467,0.9940360689,-0.0001426778,0,0,0,0,0,0,0,
126,0.9921527223,0.9920100445,-0.0001426778,0,0,0,0,0,0,0,
127,0.9967754823,0.9965186623,-0.00025682,0,0,0,0,0,0,0,
128,0.9914964045,0.991211049,-0.0002853556,0,0,0,0,0,0,0,
129,0.9862743979,0.9857607579,-0.00051364,0,0,0,0,0,0,0,
130,0.9930658601,0.9926663623,-0.0003994978,0,0,0,0,0,0,0,
132,0.9865597535,0.9861031846,-0.0004565689,0,0,0,0,0,0,0,
133,0.9908400867,0.9904691245,-0.0003709622,0,0,0,0,0,0,0,
135,0.9952060267,0.9945497089,-0.0006563178,0,0,0,0,0,0,0,
136,0.9972605867,0.9970323022,-0.0002282844,0,0,0,0,0,0,0,
137,0.9970037667,0.9967754823,-0.0002282844,0,0,0,0,0,0,0,
138,0.9831640224,0.9830784157,-8.56066659057353E-05,0,0,0,0,0,0,0,
139,0.9964330556,0.9961477,-0.0002853556,0,0,0,0,0,0,0,
141,0.9910113001,0.990697409,-0.0003138911,0,0,0,0,0,0,0,
142,0.9957767378,0.9955199178,-0.00025682,0,0,0,0,0,0,0,
143,0.9968325534,0.99666134,-0.0001712133,0,0,0,0,0,0,0,
144,0.9886713845,0.988129209,-0.0005421756,0,0,0,0,0,0,0,
145,0.9972891222,0.9959764867,-0.0013126355,0,0,0,0,0,0,0,
146,0.9877297112,0.987358749,-0.0003709622,0,0,0,0,0,0,0,
147,0.9938077845,0.9937221778,-8.56066659057353E-05,0,0,0,0,0,0,0,
149,0.99563406,0.99512042,-0.00051364,0,0,0,0,0,0,0,
150,0.9963189134,0.9960335578,-0.0002853556,0,0,0,0,0,0,0,
151,0.9872731423,0.9865026823,-0.00077046,0,0,0,0,0,0,0,
152,0.9941787467,0.9937792489,-0.0003994978,0,0,0,0,0,0,0,
153,0.9954913823,0.99537724,-0.0001141422,0,0,0,0,0,0,0,
156,0.9971464445,0.9971464445,0,0,0,0,0,0,0,0,
