ingredient,baseline_acc,icnn_acc,diff_acc,prec_base,prec_icnn,recBase,recModel,f1Base,f1Model,f1Diff,ingred_name
0,0.9958052734,0.9956911311,-0.0001141422,0,0,0,0,0,0,0,
1,0.9856751512,0.9854754024,-0.0001997489,0,0,0,0,0,0,0,
2,0.9962047711,0.9961477,-5.70711106038235E-05,0,0,0,0,0,0,0,
3,0.9774854469,0.9773713046,-0.0001141422,0,0,0,0,0,0,0,
4,0.9723490469,0.9721778336,-0.0001712133,0,0,0,0,0,0,0,
5,0.9949492067,0.9948921356,-5.70711106038235E-05,0,0,0,0,0,0,0,
6,0.9802533957,0.980110718,-0.0001426778,0,0,0,0,0,0,0,
7,0.9950918845,0.9949777423,-0.0001141422,0,0,0,0,0,0,0,
9,0.99666134,0.9966042689,-5.70711106038235E-05,0,0,0,0,0,0,0,
10,0.9940360689,0.9939789978,-5.70711106038235E-05,0,0,0,0,0,0,0,
11,0.9920671156,0.9917817601,-0.0002853556,0,0,0,0,0,0,0,
12,0.9967184111,0.99666134,-5.70711106038235E-05,0,0,0,0,0,0,0,
13,0.9935509645,0.9933797512,-0.0001712133,0,0,0,0,0,0,0,
15,0.99640452,0.9963759845,-2.85355553019118E-05,0,0,0,0,0,0,0,
16,0.9925236845,0.9924095423,-0.0001141422,0,0,0,0,0,0,0,
17,0.9929231823,0.9928375756,-8.56066659056243E-05,0,0,0,0,0,0,0,
18,0.9873016779,0.9872160712,-8.56066659056243E-05,0,0,0,0,0,0,0,
19,0.9927234334,0.9926378267,-8.56066659057353E-05,0,0,0,0,0,0,0,
20,0.9914964045,0.9912966556,-0.0001997489,0,0,0,0,0,0,0,
21,0.9504908116,0.9504052049,-8.56066659057353E-05,0,0,0,0,0,0,0,
22,0.9924095423,0.9922954001,-0.0001141422,0,0,0,0,0,0,0,
23,0.9787410113,0.9786839402,-5.70711106038235E-05,0,0,0,0,0,0,0,
24,0.9490925693,0.948921356,-0.0001712133,0,0,0,0,0,0,0,
25,0.9781988357,0.978056158,-0.0001426778,0,0,0,0,0,0,0,
26,0.9961762356,0.9960620934,-0.0001141422,0,0,0,0,0,0,0,
27,0.9869021801,0.9867880379,-0.0001141422,0,0,0,0,0,0,0,
28,0.9972605867,0.9970893734,-0.0001712133,0,0,0,0,0,0,0,
29,0.9861887912,0.9860461135,-0.0001426778,0,0,0,0,0,0,0,
31,0.9707225203,0.970608378,-0.0001141422,0,0,0,0,0,0,0,
33,0.9944926378,0.9943499601,-0.0001426778,0,0,0,0,0,0,0,
34,0.9964330556,0.9963474489,-8.56066659057353E-05,0,0,0,0,0,0,0,
36,0.9949206712,0.9947779934,-0.0001426778,0,0,0,0,0,0,0,
37,0.9968040178,0.9966042689,-0.0001997489,0,0,0,0,0,0,0,
38,0.9948065289,0.9946923867,-0.0001141422,0,0,0,0,0,0,0,
39,0.9796541491,0.9795400068,-0.0001141422,0,0,0,0,0,0,0,
40,0.9702944869,0.9702088803,-8.56066659056243E-05,0,0,0,0,0,0,0,
41,0.9957767378,0.9956625956,-0.0001141422,0,0,0,0,0,0,0,
43,0.9948921356,0.9947494578,-0.0001426778,0,0,0,0,0,0,0,
44,0.9934938934,0.9934368223,-5.70711106037125E-05,0,0,0,0,0,0,0,
45,0.9936936423,0.9935795001,-0.0001141422,0,0,0,0,0,0,0,
46,0.9815374957,0.9813092113,-0.0002282844,0,0,0,0,0,0,0,
47,0.99666134,0.9964901267,-0.0001712133,0,0,0,0,0,0,0,
48,0.9965186623,0.9964330556,-8.56066659057353E-05,0,0,0,0,0,0,0,
50,0.9876726401,0.9872731423,-0.0003994978,0,0,0,0,0,0,0,
52,0.9967469467,0.9965757334,-0.0001712133,0,0,0,0,0,0,0,
53,0.9938933912,0.9938363201,-5.70711106038235E-05,0,0,0,0,0,0,0,
54,0.9912966556,0.9911825134,-0.0001141422,0,0,0,0,0,0,0,
55,0.991211049,0.9911539779,-5.70711106038235E-05,0,0,0,0,0,0,0,
56,0.9942072823,0.9941216756,-8.56066659057353E-05,0,0,0,0,0,0,0,
57,0.9951489556,0.9950348134,-0.0001141422,0,0,0,0,0,0,0,
58,0.9720922269,0.971892478,-0.0001997489,0,0,0,0,0,0,0,
