ingredient,baseline_acc,icnn_acc,diff_acc,prec_base,prec_icnn,recBase,recModel,f1Base,f1Model,f1Diff,ingred_name
0,0.9958052734,0.9956911311,-0.0001141422,0,0,0,0,0,0,0,
1,0.9856751512,0.985561009,-0.0001141422,0,0,0,0,0,0,0,
2,0.9962047711,0.9961191645,-8.56066659057353E-05,0,0,0,0,0,0,0,
3,0.9774854469,0.9773142335,-0.0001712133,0,0,0,0,0,0,0,
4,0.9723490469,0.9722063691,-0.0001426778,0,0,0,0,0,0,0,
5,0.9949492067,0.9947494578,-0.0001997489,0,0,0,0,0,0,0,
6,0.9802533957,0.9801677891,-8.56066659057353E-05,0,0,0,0,0,0,0,
7,0.9950918845,0.9949777423,-0.0001141422,0,0,0,0,0,0,0,
9,0.99666134,0.9965757334,-8.56066659057353E-05,0,0,0,0,0,0,0,
10,0.9940360689,0.9938933912,-0.0001426778,0,0,0,0,0,0,0,
11,0.9920671156,0.9920100445,-5.70711106038235E-05,0,0,0,0,0,0,0,
12,0.9967184111,0.9964901267,-0.0002282844,0,0,0,0,0,0,0,
13,0.9935509645,0.9934653578,-8.56066659056243E-05,0,0,0,0,0,0,0,
14,0.9954343112,0.9951489556,-0.0002853556,0,0,0,0,0,0,0,
15,0.99640452,0.9960620934,-0.0003424267,0,0,0,0,0,0,0,
16,0.9925236845,0.9924666134,-5.70711106038235E-05,0,0,0,0,0,0,0,
17,0.9929231823,0.992751969,-0.0001712133,0,0,0,0,0,0,0,
18,0.9873016779,0.9869877868,-0.0003138911,0,0,0,0,0,0,0,
19,0.9927234334,0.9926092912,-0.0001141422,0,0,0,0,0,0,0,
20,0.9914964045,0.9914393334,-5.70711106038235E-05,0,0,0,0,0,0,0,
21,0.9504908116,0.9504337404,-5.70711106038235E-05,0,0,0,0,0,0,0,
22,0.9924095423,0.9922954001,-0.0001141422,0,0,0,0,0,0,0,
23,0.9787410113,0.978569798,-0.0001712133,0,0,0,0,0,0,0,
24,0.9490925693,0.9489784271,-0.0001141422,0,0,0,0,0,0,0,
25,0.9781988357,0.9781703002,-2.85355553018007E-05,0,0,0,0,0,0,0,
26,0.9961762356,0.9960050223,-0.0001712133,0,0,0,0,0,0,0,
28,0.9972605867,0.9972035156,-5.70711106038235E-05,0,0,0,0,0,0,0,
29,0.9861887912,0.9860175779,-0.0001712133,0,0,0,0,0,0,0,
31,0.9707225203,0.9706939847,-2.85355553019118E-05,0,0,0,0,0,0,0,
32,0.992751969,0.9926663623,-8.56066659057353E-05,0,0,0,0,0,0,0,
33,0.9944926378,0.9943499601,-0.0001426778,0,0,0,0,0,0,0,
34,0.9964330556,0.9962618423,-0.0001712133,0,0,0,0,0,0,0,
35,0.9907830156,0.9907259445,-5.70711106038235E-05,0,0,0,0,0,0,0,
36,0.9949206712,0.9948065289,-0.0001141422,0,0,0,0,0,0,0,
37,0.9968040178,0.9966898756,-0.0001141422,0,0,0,0,0,0,0,
38,0.9948065289,0.9946353156,-0.0001712133,0,0,0,0,0,0,0,
39,0.9796541491,0.9796541491,0,0,0,0,0,0,0,0,
40,0.9702944869,0.9701518092,-0.0001426778,0,0,0,0,0,0,0,
41,0.9957767378,0.9957196667,-5.70711106037125E-05,0,0,0,0,0,0,0,
43,0.9948921356,0.9948350645,-5.70711106038235E-05,0,0,0,0,0,0,0,
44,0.9934938934,0.9934082867,-8.56066659056243E-05,0,0,0,0,0,0,0,
45,0.9936936423,0.9935224289,-0.0001712133,0,0,0,0,0,0,0,
46,0.9815374957,0.9813662824,-0.0001712133,0,0,0,0,0,0,0,
47,0.99666134,0.9966328045,-2.85355553019118E-05,0,0,0,0,0,0,0,
48,0.9965186623,0.9963474489,-0.0001712133,0,0,0,0,0,0,0,
50,0.9876726401,0.987615569,-5.70711106038235E-05,0,0,0,0,0,0,0,
52,0.9967469467,0.9966042689,-0.0001426778,0,0,0,0,0,0,0,
53,0.9938933912,0.9938363201,-5.70711106038235E-05,0,0,0,0,0,0,0,
54,0.9912966556,0.991211049,-8.56066659056243E-05,0,0,0,0,0,0,0,
55,0.991211049,0.9909827645,-0.0002282844,0,0,0,0,0,0,0,
56,0.9942072823,0.9940075334,-0.0001997489,0,0,0,0,0,0,0,
57,0.9951489556,0.9950348134,-0.0001141422,0,0,0,0,0,0,0,
58,0.9720922269,0.9719210136,-0.0001712133,0,0,0,0,0,0,0,
59,0.9966898756,0.9966898756,0,0,0,0,0,0,0,0,
60,0.9940931401,0.9940360689,-5.70711106037125E-05,0,0,0,0,0,0,0,
61,0.9895845223,0.9895559868,-2.85355553019118E-05,0,0,0,0,0,0,0,
62,0.9883574934,0.9882148157,-0.0001426778,0,0,0,0,0,0,0,
63,0.9970037667,0.9968610889,-0.0001426778,0,0,0,0,0,0,0,
64,0.987615569,0.9874443557,-0.0001712133,0,0,0,0,0,0,0,
65,0.99691816,0.9968040178,-0.0001141422,0,0,0,0,0,0,0,
66,0.9902693756,0.9901552334,-0.0001141422,0,0,0,0,0,0,0,
67,0.9799680402,0.9797112202,-0.00025682,0,0,0,0,0,0,0,
68,0.9966328045,0.9965471978,-8.56066659057353E-05,0,0,0,0,0,0,0,
69,0.9962333067,0.99589088,-0.0003424267,0,0,0,0,0,0,0,
70,0.9958338089,0.9957482023,-8.56066659056243E-05,0,0,0,0,0,0,0,
71,0.9942072823,0.9941787467,-2.85355553019118E-05,0,0,0,0,0,0,0,
72,0.9822794202,0.9821367424,-0.0001426778,0,0,0,0,0,0,0,
73,0.9908115512,0.9907544801,-5.70711106038235E-05,0,0,0,0,0,0,0,
74,0.9970323022,0.9969466956,-8.56066659057353E-05,0,0,0,0,0,0,0,
75,0.9918673667,0.991724689,-0.0001426778,0,0,0,0,0,0,0,
76,0.9925522201,0.9924666134,-8.56066659057353E-05,0,0,0,0,0,0,0,
77,0.9720066202,0.9719495491,-5.70711106038235E-05,0,0,0,0,0,0,0,
78,0.9958338089,0.9956911311,-0.0001426778,0,0,0,0,0,0,0,
79,0.9970037667,0.9970037667,0,0,0,0,0,0,0,0,
80,0.9949492067,0.9947494578,-0.0001997489,0,0,0,0,0,0,0,
81,0.9935224289,0.9932941445,-0.0002282844,0,0,0,0,0,0,0,
82,0.9883574934,0.9882718868,-8.56066659057353E-05,0,0,0,0,0,0,0,
83,0.9682399269,0.9680116425,-0.0002282844,0,0,0,0,0,0,0,
86,0.9863600046,0.9859890423,-0.0003709622,0,0,0,0,0,0,0,
87,0.9935224289,0.9934082867,-0.0001141422,0,0,0,0,0,0,0,
88,0.9949206712,0.9948636,-5.70711106038235E-05,0,0,0,0,0,0,0,
89,0.9970608378,0.9970608378,0,0,0,0,0,0,0,0,
90,0.99512042,0.9950633489,-5.70711106038235E-05,0,0,0,0,0,0,0,
91,0.9840771601,0.9839915535,-8.56066659057353E-05,0,0,0,0,0,0,0,
93,0.9966042689,0.9964615911,-0.0001426778,0,0,0,0,0,0,0,
94,0.991724689,0.9916390823,-8.56066659057353E-05,0,0,0,0,0,0,0,
96,0.9965757334,0.9963474489,-0.0002282844,0,0,0,0,0,0,0,
97,0.9510044515,0.9508903093,-0.0001141422,0,0,0,0,0,0,0,
98,0.9940360689,0.9939504623,-8.56066659057353E-05,0,0,0,0,0,0,0,
99,0.9902693756,0.9901266979,-0.0001426778,0,0,0,0,0,0,0,
100,0.9139082297,0.9137940874,-0.0001141422,0,0,0,0,0,0,0,
102,0.9960906289,0.9960050223,-8.56066659057353E-05,0,0,0,0,0,0,0,
103,0.9940931401,0.9940075334,-8.56066659056243E-05,0,0,0,0,0,0,0,
104,0.9922954001,0.9920100445,-0.0002853556,0,0,0,0,0,0,0,
105,0.9943214245,0.9942643534,-5.70711106038235E-05,0,0,0,0,0,0,0,
106,0.9879009246,0.9877867823,-0.0001141422,0,0,0,0,0,0,0,
107,0.9892135601,0.9890708823,-0.0001426778,0,0,0,0,0,0,0,
108,0.9971179089,0.9970323022,-8.56066659057353E-05,0,0,0,0,0,0,0,
110,0.9958052734,0.9956911311,-0.0001141422,0,0,0,0,0,0,0,
